"customerkey","geographykey","customername","geographykey-2","city","state","countryregioncode","country","postalcode"
11000,26,"Jon V Yang",26,"Rockhampton","Queensland","AU","Australia","4700"
11001,37,"Eugene L Huang",37,"Seaford","Victoria","AU","Australia","3198"
11002,31,"Ruben Torres",31,"Hobart","Tasmania","AU","Australia","7001"
11003,11,"Christy Zhu",11,"North Ryde","New South Wales","AU","Australia","2113"
11198,368,"Brooke Sanders",368,"Santa Cruz","California","US","United States","95062"
11004,19,"Elizabeth Johnson",19,"Wollongong","New South Wales","AU","Australia","2500"
11005,22,"Julio Ruiz",22,"East Brisbane","Queensland","AU","Australia","4169"
11006,8,"Janet G Alvarez",8,"Matraville","New South Wales","AU","Australia","2036"
11007,40,"Marco Mehta",40,"Warrnambool","Victoria","AU","Australia","3280"
11008,32,"Rob Verhoff",32,"Bendigo","Victoria","AU","Australia","3550"
11009,25,"Shannon C Carlson",25,"Hervey Bay","Queensland","AU","Australia","4655"
11010,22,"Jacquelyn C Suarez",22,"East Brisbane","Queensland","AU","Australia","4169"
11011,22,"Curtis Lu",22,"East Brisbane","Queensland","AU","Australia","4169"
11012,611,"Lauren M Walker",611,"Bremerton","Washington","US","United States","98312"
11013,543,"Ian M Jenkins",543,"Lebanon","Oregon","US","United States","97355"
11014,634,"Sydney Bennett",634,"Redmond","Washington","US","United States","98052"
12064,539,"John D White",539,"Corvallis","Oregon","US","United States","97330"
11015,301,"Chloe Young",301,"Burbank","California","US","United States","91502"
11016,329,"Wyatt L Hill",329,"Imperial Beach","California","US","United States","91932"
11017,39,"Shannon Wang",39,"Sunbury","Victoria","AU","Australia","3429"
11018,32,"Clarence D Rai",32,"Bendigo","Victoria","AU","Australia","3550"
11019,52,"Luke L Lal",52,"Langley","British Columbia","CA","Canada","V3A 4R2"
11020,53,"Jordan C King",53,"Metchosin","British Columbia","CA","Canada","V9"
11998,24,"Donna Sharma",24,"Hawthorne","Queensland","AU","Australia","4171"
11021,536,"Destiny Wilson",536,"Beaverton","Oregon","US","United States","97005"
11022,609,"Ethan G Zhang",609,"Bellingham","Washington","US","United States","98225"
12685,40,"Jaclyn L Xu",40,"Warrnambool","Victoria","AU","Australia","3280"
11023,298,"Seth M Edwards",298,"Bellflower","California","US","United States","90706"
11024,311,"Russell Xie",311,"Concord","California","US","United States","94519"
11999,10,"Johnny Shan",10,"Newcastle","New South Wales","AU","Australia","2300"
11025,24,"Alejandro Beck",24,"Hawthorne","Queensland","AU","Australia","4171"
11026,4,"Harold Sai",4,"Goulburn","New South Wales","AU","Australia","2580"
11027,40,"Jessie R Zhao",40,"Warrnambool","Victoria","AU","Australia","3280"
11028,17,"Jill Jimenez",17,"St. Leonards","New South Wales","AU","Australia","2065"
11029,32,"Jimmy L Moreno",32,"Bendigo","Victoria","AU","Australia","3550"
12000,21,"Ashley Russell",21,"Caloundra","Queensland","AU","Australia","4551"
12001,4,"Shannon Yang",4,"Goulburn","New South Wales","AU","Australia","2580"
11030,28,"Bethany G Yuan",28,"Cloverdale","South Australia","AU","Australia","6105"
11031,8,"Theresa G Ramos",8,"Matraville","New South Wales","AU","Australia","2036"
11032,35,"Denise Stone",35,"Melbourne","Victoria","AU","Australia","3000"
